,old_index,world_rank,institution,country,national_rank,quality_of_education,quality_of_faculty,year,city,totalRent_mean,totalRent_median,serviceCharge_mean,serviceCharge_median,baseRent_mean,baseRent_median,livingSpace_mean,livingSpace_median,noRooms_mean,noRooms_median,hasKitchen_percentage,cellar_percentage,lift_percantage,garden_percentage,telekomUploadSpeed_mean,telekomUploadSpeed_median,yearConstructed_mean,yearConstructed_median,petsAllowed_negotiable,petsAllowed_no,petsAllowed_yes,population_per_city
0,81,82,Ruprecht Karl University of Heidelberg,Germany,1,87,52,2012,Heidelberg,1348.4225407925408,1290.0,207.8471568627451,200.0,1148.408448275862,1100.0,84.97842911877395,85.0,2.8256704980842913,3.0,0.5938697318007663,0.6532567049808429,0.4501915708812261,0.1896551724137931,4.189317507418398,2.4,1978.1353383458647,1998.0,0.3302180685358255,0.6355140186915887,0.03426791277258567,160355.0
1,82,83,Ludwig Maximilian University of Munich,Germany,2,90,90,2012,München,1904.1664540420818,1650.0,193.62337471549762,180.0,1712.8980091853036,1490.0,92.77491014376997,75.0,2.542332268370607,2.5,0.6188099041533547,0.7032747603833865,0.5820686900958466,0.21645367412140576,31.210323791647113,40.0,1986.187410244136,1995.0,0.36435501257635644,0.595400646784046,0.04024434063959756,1471508.0
2,89,90,Technical University of Munich,Germany,3,52,101,2012,München,1904.1664540420818,1650.0,193.62337471549762,180.0,1712.8980091853036,1490.0,92.77491014376997,75.0,2.542332268370607,2.5,0.6188099041533547,0.7032747603833865,0.5820686900958466,0.21645367412140576,31.210323791647113,40.0,1986.187410244136,1995.0,0.36435501257635644,0.595400646784046,0.04024434063959756,1471508.0
3,166,67,Ludwig Maximilian University of Munich,Germany,1,62,92,2013,München,1904.1664540420818,1650.0,193.62337471549762,180.0,1712.8980091853036,1490.0,92.77491014376997,75.0,2.542332268370607,2.5,0.6188099041533547,0.7032747603833865,0.5820686900958466,0.21645367412140576,31.210323791647113,40.0,1986.187410244136,1995.0,0.36435501257635644,0.595400646784046,0.04024434063959756,1471508.0
4,178,79,Ruprecht Karl University of Heidelberg,Germany,2,73,55,2013,Heidelberg,1348.4225407925408,1290.0,207.8471568627451,200.0,1148.408448275862,1100.0,84.97842911877395,85.0,2.8256704980842913,3.0,0.5938697318007663,0.6532567049808429,0.4501915708812261,0.1896551724137931,4.189317507418398,2.4,1978.1353383458647,1998.0,0.3302180685358255,0.6355140186915887,0.03426791277258567,160355.0
5,281,82,Ludwig Maximilian University of Munich,Germany,1,43,91,2014,München,1904.1664540420818,1650.0,193.62337471549762,180.0,1712.8980091853036,1490.0,92.77491014376997,75.0,2.542332268370607,2.5,0.6188099041533547,0.7032747603833865,0.5820686900958466,0.21645367412140576,31.210323791647113,40.0,1986.187410244136,1995.0,0.36435501257635644,0.595400646784046,0.04024434063959756,1471508.0
6,288,89,Ruprecht Karl University of Heidelberg,Germany,2,57,58,2014,Heidelberg,1348.4225407925408,1290.0,207.8471568627451,200.0,1148.408448275862,1100.0,84.97842911877395,85.0,2.8256704980842913,3.0,0.5938697318007663,0.6532567049808429,0.4501915708812261,0.1896551724137931,4.189317507418398,2.4,1978.1353383458647,1998.0,0.3302180685358255,0.6355140186915887,0.03426791277258567,160355.0
7,297,98,University of Bonn,Germany,3,23,70,2014,Bonn,1114.7085727190604,1000.0,208.51654263565894,186.975,925.7716578349736,820.0,81.31289931869796,78.0,2.6010598031794094,3.0,0.47161241483724453,0.7153671461014383,0.3663890991672975,0.24526873580620742,29.11406384814495,40.0,1981.008226691042,1984.0,0.39775561097256856,0.5473815461346634,0.05486284289276808,327258.0
8,298,99,Technical University of Munich,Germany,4,38,173,2014,München,1904.1664540420818,1650.0,193.62337471549762,180.0,1712.8980091853036,1490.0,92.77491014376997,75.0,2.542332268370607,2.5,0.6188099041533547,0.7032747603833865,0.5820686900958466,0.21645367412140576,31.210323791647113,40.0,1986.187410244136,1995.0,0.36435501257635644,0.595400646784046,0.04024434063959756,1471508.0
9,334,135,Albert Ludwig University of Freiburg,Germany,5,137,187,2014,Freiburg,1490.4771028037383,1550.0,209.87333333333333,200.0,1268.9590987124461,1290.0,90.9798712446352,93.0,2.88412017167382,3.0,0.648068669527897,0.7167381974248928,0.47639484978540775,0.13733905579399142,28.257004830917875,40.0,1984.6627906976744,2010.5,0.2802547770700637,0.6560509554140127,0.06369426751592357,230241.0
10,356,157,Humboldt University of Berlin,Germany,6,275,110,2014,Berlin,1385.3417405582923,1124.0,199.04176482155148,164.95,1165.3114606957524,945.0,81.81784355179704,72.0,2.5655198923697866,2.0,0.5921583701710552,0.5370939842398617,0.4833749759753988,0.13943878531616374,32.195062826642946,40.0,1965.1920721523215,1978.0,0.7232399425287356,0.22431752873563218,0.05244252873563218,3644826.0
11,357,158,Free University of Berlin,Germany,7,94,119,2014,Berlin,1385.3417405582923,1124.0,199.04176482155148,164.95,1165.3114606957524,945.0,81.81784355179704,72.0,2.5655198923697866,2.0,0.5921583701710552,0.5370939842398617,0.4833749759753988,0.13943878531616374,32.195062826642946,40.0,1965.1920721523215,1978.0,0.7232399425287356,0.22431752873563218,0.05244252873563218,3644826.0
12,358,159,University of Tübingen,Germany,8,64,102,2014,Tübingen,1136.6813167259786,1058.0,185.67330097087378,170.0,956.9018633540373,853.0,84.88167701863354,84.0,3.0031055900621118,3.0,0.7701863354037267,0.6770186335403726,0.3198757763975155,0.2701863354037267,29.349285714285713,40.0,1990.3587786259543,1997.5,0.24107142857142858,0.71875,0.04017857142857143,90546.0
